session_title,association,location,session_chair_name,session_chair_affiliation,session_respondent_name,session_respondent_affiliation,presenter_name,presenter_affiliation,presentation_title,year
Wagner ,AMS,W: 102 E,Katherine Syer,University of Illinois at Urbana-Champaign,NA,NA,Michael Richardson,Stony Brook University,"Wagner's TannhÃ¤user, Hagen's Minnesinger, and the missing Volksbuch",2014
Wagner ,AMS,W: 102 E,Katherine Syer,University of Illinois at Urbana-Champaign,NA,NA,Tahirih Motazedian,Yale University,Die kommunistische WalkÃ¼re: Eisenstein's Marriage of German Wagnerism with Soviet Communism,2014
Wagner ,AMS,W: 102 E,Katherine Syer,University of Illinois at Urbana-Champaign,NA,NA,Brooke McCorkle,University of Pennsylvania,"Love, Sex, and TannhÃ¤user in Occupied Japan",2014
Downtown Sounds ,AMS,H: Juneau,Tamar Barzel,Wellesley College,NA,NA,Ryan Dohoney,Northwestern University,"An End to Downtown: The Society for Black Composers, the Brooklyn Community Concerts, and the Black Radical Tradition",2014
Downtown Sounds ,AMS,H: Juneau,Tamar Barzel,Wellesley College,NA,NA,Theodore Gordon,University of Chicago,Sound is God: La Monte Young and Pandit Pran Nath in New York,2014
Kindertotenlieder ,AMS,W: 102 B,Robert Fink,"University of California, Los Angeles",NA,NA,Christopher M. Barry,"Madison, Wisc.",Song Analysis beyond Representation: Inner Worlds in Mahler's Second Kindertotenliedâ€‰,2014
Kindertotenlieder ,AMS,W: 102 B,Robert Fink,"University of California, Los Angeles",NA,NA,Melinda Boyd,University of Northern Iowa,Dolly Parton's Kindertotenlieder,2014
Music in/as Politics ,AMS,H: Regency,Alessandra Campana,Tufts University,NA,NA,Anthony Alms,Brooklyn College,"Music, Mythos, and the Hegemony of Reason",2014
Music in/as Politics ,AMS,H: Regency,Alessandra Campana,Tufts University,NA,NA,Mary Ann Smar,"University of California, Berkeley",The Description of Power and the Power of Description: Listening to Donizetti after New Historicism,2014
Composers' Philosophers ,AMS,H: Regency,Brian Hyer,University of Wisconsin-Madison,NA,NA,Aaron Hayes,Stony Brook University,Openness of Musical Form and of Self in Jean BarraquÃ©'s Le temps restituÃ©â€‰,2014
Composers' Philosophers ,AMS,H: Regency,Brian Hyer,University of Wisconsin-Madison,NA,NA,Robert Hasegawa,McGill University,'Production of Presence' in Liza Lim's Invisibility,2014
Country ,AMS,H: Juneau,David Bracke,McGill University,NA,NA,Stephanie Vander Wel,"University at Buffalo, SUNY",Rose Maddox's Roadhouse Vocality and the California Sound of 1950s Rockabilly and Honky-Tonk,2014
Country ,AMS,H: Juneau,David Bracke,McGill University,NA,NA,Dan Blim,Carleton College,"Reel Country: Country Music, Authenticity, and the Politicized Reception of Robert Altman's Nashville",2014
Italian Fascism ,AMS,W: 102 B,Arman Schwartz,University of Birmingham,NA,NA,Davide Ceriani,Rowan University,'Renewing' Italy's Image in the United States: Italian Instrumental Music as Fascist Propaganda in the 1920s and 1930s,2014
Italian Fascism ,AMS,W: 102 B,Arman Schwartz,University of Birmingham,NA,NA,Zoey Cochran,McGill University,"Opera, Fascism, and the Uomo non virâ€‰",2014
Musical Literacy in the Early Middle Ages,AMS,Grand Ballroom A,Peter Jeffery,University of Notre Dame,NA,NA,Daniel DiCenso,College of the Holy Cross,Literacy and Transmission in the Earliest Mass-Chant Books: A Perspective from Neuroscience,2016
Musical Literacy in the Early Middle Ages,AMS,Grand Ballroom A,Peter Jeffery,University of Notre Dame,NA,NA,Henry Parkes,Yale University,Remembering or Dismembering? The Implications of Written Collections for Early Medieval Trope Performance,2016
Musical Literacy in the Early Middle Ages,AMS,Grand Ballroom A,Peter Jeffery,University of Notre Dame,NA,NA,Emma Hornby and Rebecca Maloy,University of Bristol / University of Colorado Boulder,Melodic Language and Musical Literacy in the Old Hispanic Chant,2016
History of Music Theory,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Frank Heidlberger,University of North Texas,'What Is the History of Music Theory?' Dahlhaus's Essay and its Relevance for the Current Understanding of the Discipline,2016
History of Music Theory,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Jan Philipp Sprick,"Hochschule fÃ¼r Musik und Theater, Rostock",On the Implicit and Explicit Reception of Dahlhaus's 'Was heiÃŸt Geschichte der Musiktheorie?',2016
History of Music Theory,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Nathan John Martin,University of Michigan,Dahlhaus's 'Was heiÃŸt Geschichte der,2016
History of Music Theory,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,"Musiktheorie?' Between Kuhn and Weber"" Thomas Christensen",University of Chicago,Dahlhaus and the Origins of the Origin,2016
History of Music Theory,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Stefano Mengozzi,University of Michigan,The History of Music Theory after Dahlhaus's Studies on the Origin of Harmonic Tonality: On the Relationship between Musical Concepts,2016
History of Music Theory,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Gesine SchrÃ¶der,"UniversitÃ¤t fÃ¼r Musik und darstellende Kunst Wien/Hochschule fÃ¼r Musik und Theater ""Felix Mendelssohn Bartholdy""",Theorist and Teacher of Theory: Carl Dahlhaus as a Model for the Classroom Teaching of Music Theory at German Conservatories,2016
Colonial Music in the New World,AMS,Grand Ballroom B,Louise K. Stein,University of Michigan,NA,NA,Lorenzo Candelaria,University of Texas at El Paso,Pedro de Gante and the Creation of Euro-Mexica Catholic Song in Sixteenth-Century New Spain,2016
Colonial Music in the New World,AMS,Grand Ballroom B,Louise K. Stein,University of Michigan,NA,NA,Sarah Eyerly,Florida State University,Mozart and the Moravians,2016
